id,team,sensor,mac,temp,humidity,aqi,tvoc,eco2,created_at,lat,lon,sender,rssi,timestamp
11085,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.48,31.38,1,0,400,32:38.0,36.6302909,127.4560999,,-60,
11086,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.22,39.41,1,28,409,32:37.0,36.6302909,127.4560999,,-92,
11087,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.48,31.38,1,0,400,32:38.0,36.6302909,127.4560999,,-63,
11088,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.48,31.53,1,0,400,32:40.0,36.6302909,127.4560999,,-60,
11089,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.37,34.67,1,10,400,32:40.0,36.6302909,127.4560999,,-90,
11090,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.2,39.11,1,29,411,32:41.0,36.6302909,127.4560999,,-89,
11091,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.48,31.53,1,0,400,32:40.0,36.6302909,127.4560999,,-63,
11092,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.47,31.75,1,0,400,32:42.0,36.6302909,127.4560999,,-60,
11093,team 5,opensrc_team2,B8:27:EB:D3:40:06,20.2,39.11,1,29,411,32:41.0,36.6302909,127.4560999,,-87,
11094,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.47,31.75,1,0,400,32:42.0,36.6302909,127.4560999,,-61,
11095,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.42,31.77,1,0,400,32:44.0,36.6302909,127.4560999,,-61,
11096,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.42,31.77,1,0,400,32:44.0,36.6302909,127.4560999,,-59,
11097,team 5,opensrc_team3,88:A2:9E:9B:5E:6A,20.42,34.72,1,6,400,32:44.0,36.6302909,127.4560999,,-91,
11098,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.37,31.77,1,0,400,32:46.0,36.6302909,127.4560999,,-62,
11099,team 5,opensrc_team4,D8:3A:DD:79:8F:80,21.43,31.82,1,0,400,32:48.0,36.6301668,127.4561421,,-63,
11100,team 5,opensrc_team2,B8:27:EB:D3:40:06,19.94,38.83,1,21,400,32:47.0,36.6301668,127.4561421,,-91,
11101,team 5,opensrc_team2,B8:27:EB:D3:40:06,19.98,38.96,1,18,400,32:49.0,36.6301668,127.4561421,,-91,
